category,Tales of London,london,200,
ns,To the death!,spider>=3 && !dueling,,
ip,To the death!,dueling,,
ip,To the death!,dueling>5,,
//,*********************************************************************************,,,
quest,The Cheesemonger,cheesemonger,,
mappings,"trail=591,agent=592,piece=594,mynw=1018",,,
ns,What does she want? What could you gain?,mynw>=3,,
ip,What does she want? What could you gain?,trail || agent || piece,,
c,What does she want? What could you gain?,piece>=2,,
//,*********************************************************************************,,,
quest,Entwined in the Intrigues of the Clathermont Family,clathermonts,,
mappings,"story=690,mynw=1018",,,
ns,"What's going on at that tattoo parlor?

*This can only be fully completed during the second and third weeks 
of Feast of the Exceptional Rose*",!story && mynw>=4,,
ip,"What's going on at that tattoo parlor?

*This can only be fully completed during the second and third weeks 
of Feast of the Exceptional Rose*",story,,
c,"What's going on at that tattoo parlor?

*This can only be fully completed during the second and third weeks 
of Feast of the Exceptional Rose*",story>=30,,
//,*********************************************************************************,,,
quest,Uncovering the Secrets of the Face-Tailor,face_tailor,,
mappings,"story=621,idol=620",,,
ns,What's up with that weird idol?,!story,,
ip,What's up with that weird idol?,story,,
c,What's up with that weird idol?,story>=5,,
//,*********************************************************************************,,,
quest,Family and Law,fam_law,,
mappings,"story=1022,rendconst=1057,rendcheery=13133,favoring=1023,myns=1016",,,
ns,You'll have to pick a side.,!story && !rendconst && !rendcheery,,
ip,You'll have to pick a side.,story,,
c,You'll have to pick a side.,story>=250,,
//,*********************************************************************************,,,
quest,The Solitary Glim-sculptor,glim_sculptor,,
mappings,"story=667,university=600",,,
ns,Won't somebody help the poor fellow?,!story && university>=30,,
ip,Won't somebody help the poor fellow?,story,,
c,Won't somebody help the poor fellow?,story>=8,,
//,*********************************************************************************,,,
quest,Cultivating an Acquaintance with His Amused Lordship,his_lordship,,
mappings,"hislordship=578,persuasive=212,routepalace=427,garden=963,cities=962",,,
ns,A valuable connection to make.,!hislordship && routepalace && (cities>=5 || garden>=5 || persuasive>=69),,
ip,A valuable connection to make.,hislordship,,
c,A valuable connection to make.,hislordship>=3,,
//,*********************************************************************************,,,
quest,Join the Velocipede Squad,vel_squad,,
mappings,"squad=870,velocipede=769,dangerous=211,spinning=886",,,
ns,Ride those savage cobbles.,velocipede && dangerous >=120 && !squad && spinning<9,,
c,Ride those savage cobbles.,squad,,
//,*********************************************************************************,,,
quest,The Jack-of-Smiles Case,jack_smiles,,
mappings,"story=1074,posi=716,gone=1080,watchful=209,dangerous=211",,,
ns,It's time to get to the root of it.,squad && watchful>=130 && dangerous >=130 && spinning<10,,
ip,It's time to get to the root of it.,story,,
c,It's time to get to the root of it.,story>=20,,
//,*********************************************************************************,,,
quest,The Labyrinth of Tigers,lab_tigers,,
mappings,"progress=623,coil=622,dangerous=211",,,
//,A Name Scrawled in Blood leads into this so we're going to skip the not started state for this one.,,,
ip,It's time to make some progress.,progress=1,,
c,It's time to make some progress.,progress>=16,,
//,*********************************************************************************,,,
quest,The Secular Missionary,sec_miss,,
mappings,"missionary=694,forgottenquarter=429,firebrand=695",,,
ns,Who is she?,!missionary,,
ip,Who is she?,missionary,,
c,Who is she?,missionary>=12,,
quest,The Revolutionary Firebrand,rev_brand,,
mappings,revolutionaries=133832,,,
ns,Who is he?,!firebrand && revolutionaries>=5,,
ip,Who is he?,firebrand,,
c,Who is he?,firebrand>=12,,
quest,The Cave of the Nadir,cave_nadir,,
mappings,nadir=23569,,,
ip,What do they want?,(missionary=12 && firebrand=12) || nadir,,
c,What do they want?,nadir>=3 && missionary>=30 && firebrand>=30,,
//,*********************************************************************************,,,
quest,Seeking the Meaning of the Plaster Face,plaster_face,,
mappings,"story=672,dangerous=211,albinorat=673",,,
ns,A conflict among rats?,dangerous>=90,,
ip,A conflict among rats?,story,,
c,A conflict among rats?,story=15 || (story=20 && albinorat),,
//,*********************************************************************************,,,
quest,Playing with Soul,playing_soul,,
mappings,"story=1025,routemandrake=140932,mpianist=126056,mspirifer=126057,waiting=144195",,,
ns,There'll be hell to pay.,!story && routemandrake,,
ip,There'll be hell to pay.,story,,
c,There'll be hell to pay.,story>=100,,
//,*********************************************************************************,,,
quest,A Posting Abroad,posting_abroad,,
mappings,"posi=716,persuasive=212,banished=636,diplomat=872,route=859,governor=119386,legitimacy=118808,timepassing=118811,restored=134833",,,
ns,The fulfillment of a promise.,posi&&banished&&!diplomat&&persuasive>=115,,
ip,The fulfillment of a promise.,route || legitimacy || timepassing || governor,,
c,The fulfillment of a promise.,restored,,
//,*********************************************************************************,,,
quest,Associating with Radical Academics,radical_academics,,
mappings,"story=577,garden=963,watchful=209,hislordship=578,posi=716,governor=119386,labyrinth=623",,,
ns,A secret society? Sign me up!,!story && (garden>=5 || watchful >= 69),,
ip,A secret society? Sign me up!,story,,
c,A secret society? Sign me up!,story>=75,,
//,*********************************************************************************,,,
quest,The Wars of Illusion,war_illusions,,
mappings,"story=575,myns=1016,bats=574,cats=573,glass=682,shroud=683,shadowy=210,routehall=696",,,
ns,What do bats and cats have to do with this?,myns>=6,,
ip,What do bats and cats have to do with this?,story>=6,,
c,They said it wasn't over. It's over.,shroud>=20 || glass>=20,,
//,*********************************************************************************,,,
